metro,order_ids,test_range,composition_type,scenario_type,excluded_eps_codename,scenario_label,group,n,denom,pct,baseline_pct,delta_pp,full_pool_n,removed_n,removed_pct,remaining_pool_n
chicago,392834_488035,SAT score 1160 - 1300,race,exclusion,"IL12, Western Suburbs","Excluding IL12, Western Suburbs","White, non-Hispanic",5580,9731,57.34251361627788,60.43186460461044,-3.089350988332562,14202,4111,28.94662723560062,10091
chicago,392834_488035,SAT score 1160 - 1300,race,exclusion,"IL13, South & Southwest Suburbs","Excluding IL13, South & Southwest Suburbs","Asian, non-Hispanic",1305,11425,11.422319474835886,10.074409104172746,1.34791037066314,14202,2340,16.476552598225602,11862
chicago,392834_488035,SAT score 1160 - 1300,race,exclusion,"IL13, South & Southwest Suburbs","Excluding IL13, South & Southwest Suburbs","Black, non-Hispanic",719,11425,6.2932166301969366,7.046979865771812,-0.7537632355748753,14202,2340,16.476552598225602,11862
chicago,392834_488035,SAT score 1160 - 1300,race,exclusion,"IL13, South & Southwest Suburbs","Excluding IL13, South & Southwest Suburbs",Hispanic,2246,11425,19.65864332603939,18.784651298511818,0.8739920275275708,14202,2340,16.476552598225602,11862
chicago,392834_488035,SAT score 1160 - 1300,race,exclusion,"IL13, South & Southwest Suburbs","Excluding IL13, South & Southwest Suburbs","Two+, non-Hispanic",431,11425,3.7724288840262585,3.6620951269331776,0.11033375709308091,14202,2340,16.476552598225602,11862
chicago,392834_488035,SAT score 1160 - 1300,race,exclusion,"IL13, South & Southwest Suburbs","Excluding IL13, South & Southwest Suburbs","White, non-Hispanic",6724,11425,58.85339168490154,60.43186460461044,-1.5784729197089007,14202,2340,16.476552598225602,11862
chicago,392834_488035,SAT score 1160 - 1300,firstgen,all,All Geomarkets,All Geomarkets,First-gen,4219,13848,30.466493356441365,30.466493356441365,0,14202,0,0,14202
chicago,392834_488035,SAT score 1160 - 1300,firstgen,all,All Geomarkets,All Geomarkets,Not first-gen,9629,13848,69.53350664355864,69.53350664355864,0,14202,0,0,14202
chicago,392834_488035,SAT score 1160 - 1300,firstgen,exclusion,"IL 7, Chain of Lakes","Excluding IL 7, Chain of Lakes",First-gen,3888,12479,31.15634265566151,30.466493356441365,0.6898492992201462,14202,1401,9.864807773553022,12801
chicago,392834_488035,SAT score 1160 - 1300,firstgen,exclusion,"IL 7, Chain of Lakes","Excluding IL 7, Chain of Lakes",Not first-gen,8591,12479,68.8436573443385,69.53350664355864,-0.6898492992201426,14202,1401,9.864807773553022,12801
chicago,392834_488035,SAT score 1160 - 1300,firstgen,exclusion,"IL 8, Northwest Suburbs","Excluding IL 8, Northwest Suburbs",First-gen,3775,12330,30.616382806163827,30.466493356441365,0.14988944972246188,14202,1539,10.836501901140684,12663
chicago,392834_488035,SAT score 1160 - 1300,firstgen,exclusion,"IL 8, Northwest Suburbs","Excluding IL 8, Northwest Suburbs",Not first-gen,8555,12330,69.38361719383617,69.53350664355864,-0.14988944972246543,14202,1539,10.836501901140684,12663
chicago,392834_488035,SAT score 1160 - 1300,firstgen,exclusion,"IL 9, North Shore","Excluding IL 9, North Shore",First-gen,4126,13022,31.684841038242972,30.466493356441365,1.2183476818016068,14202,913,6.4286720180256305,13289
chicago,392834_488035,SAT score 1160 - 1300,firstgen,exclusion,"IL 9, North Shore","Excluding IL 9, North Shore",Not first-gen,8896,13022,68.31515896175702,69.53350664355864,-1.2183476818016175,14202,913,6.4286720180256305,13289
chicago,392834_488035,SAT score 1160 - 1300,firstgen,exclusion,"IL10, Evanston & Skokie","Excluding IL10, Evanston & Skokie",First-gen,4105,13237,31.01155851023646,30.466493356441365,0.5450651537950932,14202,678,4.773975496408957,13524
chicago,392834_488035,SAT score 1160 - 1300,firstgen,exclusion,"IL10, Evanston & Skokie","Excluding IL10, Evanston & Skokie",Not first-gen,9132,13237,68.98844148976355,69.53350664355864,-0.5450651537950932,14202,678,4.773975496408957,13524
