eps_code,eps_name
PA13,Southwestern PA (w/o Allegheny Co)
RI01,Providence & N. Rhode Island
RI02,Southern Rhode Island
SC01,Pee Dee
SC02,Low Country
SC03,Mid Lands
SC04,East Piedmont
SC05,West Piedmont
SD01,Sioux Falls & Eastern South Dakota
SD02,Western South Dakota
TN01,Chattanooga
TN02,Knoxville
TN03,Memphis
TN04,Nashville & Davidson
TX01,"Amarillo, Panhandle, & South Plains"
TX02,El Paso
TX03,"Midland, Odessa, & Trans Pecos"
TX04,Abilene & San Angelo
TX05,Red River Area
TX06,Austin & Central Texas
TX07,"Waco, Temple, & Killeen"
TX08,East Texas
TX09,Beaumont & Port Arthur
TX10,"Gulf Coast, Wharton, & Victoria Co"
TX11,South Texas Valley
TX12,Brazos & Trinity Valley
TX13,"Del Rio, Uvalde Co, & Bexar Co"
TX14,City of San Antonio
TX15,Northwest Houston & Conroe School Dist
TX16,Southwest Houston Metro Area
TX17,City of Houston (East)
TX18,Galveston & East Harris Co
TX19,City of Dallas
TX20,City of Fort Worth
TX21,"Irving, Arlington, & Grand Prairie"
TX22,Dallas Co (w/o City of Dallas)
TX23,Collin & Rockwall Co
TX24,West of Dallas/Ft. Worth Metroplex
UT01,"Salt Lake City, Ogden, & Provo"
UT02,Southern Utah
VA01,Arlington & Alexandria
VA02,Fairfax Co
VA03,North Central Virginia
VA04,Northern Neck
VA05,Central Virginia
VA06,Richmond
VA07,Southside Virginia
VA08,Tidewater
VA09,Shenandoah
VA10,Southwest Virginia
VT01,Burlington
VT02,Southern Vermont
VT03,Northern & Eastern Vermont
WA01,Greater Seattle
WA02,South Sound
WA03,Greater Spokane
WA04,Greater Washington (East)
WA05,Greater Washington (West)
WA06,Bellingham Area
WI01,Madison and Janesville
WI02,Milwaukee and Racine
WI03,Northern Wisconsin
WV01,Charleston & Huntington
WV02,Northern West Virginia
WY01,Casper & Cheyenne
WY02,Western Wyoming
